key,en,zh_CN,zh_TW,ja,ko,de,fr
[Vector Fill Tooltip],Vector fill\n- Fill enclosed areas with editable fill markers.,矢量填充\n- 用可编辑的填充标记填充封闭区域。,矢量填充\n- 用可編輯的填充標記填充封閉區域。,ベクターフィル\n- 編集可能なフィルマーカーで閉じた領域を塗りつぶします。,벡터 채우기\n- 편집 가능한 채우기 마커로 닫힌 영역을 채웁니다.,Vektor-Füllung\n- Geschlossene Bereiche mit bearbeitbaren Füllmarkern füllen.,Remplissage vectoriel\n- Remplit les zones fermées avec des repères de remplissage modifiables.
[Gap Bridge Tooltip],Gap bridge\n- Detect candidate bridge gaps in vector topology.,Gap bridge\n- Detect candidate bridge gaps in vector topology.,Gap bridge\n- Detect candidate bridge gaps in vector topology.,Gap bridge\n- Detect candidate bridge gaps in vector topology.,Gap bridge\n- Detect candidate bridge gaps in vector topology.,Gap bridge\n- Detect candidate bridge gaps in vector topology.,Gap bridge\n- Detect candidate bridge gaps in vector topology.,Gap bridge\n- Detect candidate bridge gaps in vector topology.
[Paint Fill Tooltip],Paint fill\n- Draw colored area free-handly.,填充\n- 自由手绘彩色区域。,填充\n- 自由手繪彩色區域。,ペイント塗りつぶし\n- フリーハンドでカラー領域を描画します。,페인트 채우기\n- 자유롭게 색칠된 영역을 그립니다.,Farbfüllung\n- Freihändig gezeichnete Farbflächen.,Remplissage au pinceau\n- Dessine des zones colorées à main levée.
[Paint Brush Tooltip],Paint brush,画笔,畫筆,ペイントブラシ,페인트 브러시,Pinsel,Pinceau
[About Ciallo],Ciallo is a free and open-source software for digital painting.\n\nCiallo's unique technologies are researched and developed by the developer Shen Ciao — inspired by love and supported by your donations.,Ciallo是一款免费开源的数字绘画软件。\n\nCiallo特有的技术由开发者Shen Ciao研发 - 因爱而生，靠您的捐赠而行。,Ciallo是一款免費開源的數位繪畫軟體。\n\nCiallo特有的技術由開發者Shen Ciao研發──源於愛並由您的捐助支持。,Cialloは、デジタルペイント用の無料でオープンソースのソフトウェアです。\n\nCialloのユニークな技術は、開発者Shen Ciaoによって研究・開発されています — 愛によって着想され、あなたの寄付によってサポートされています。,Ciallo는 디지털 페인팅을 위한 무료 오픈소스 소프트웨어입니다.\n\nCiallo의 독특한 기술은 개발자 Shen Ciao가 연구하고 개발했습니다 — 사랑에서 영감을 받고 여러분의 기부로 지원됩니다.,Ciallo ist eine kostenlose und quelloffene Software für digitales Malen.\n\nCiallos einzigartige Technologien wurden vom Entwickler Shen Ciao erforscht und entwickelt — inspiriert von Liebe und unterstützt durch Ihre Spenden.,Ciallo est un logiciel gratuit et open-source pour la peinture numérique.\n\nLes technologies uniques de Ciallo sont recherchées et développées par le développeur Shen Ciao — inspiré par l'amour et soutenu par vos dons.
[Canvas Navigation Guide Tooltip],Mouse:\n- Scroll mouse wheel -> zoom.\n- Drag middle mouse button -> pan.\n- Double click middle mouse button -> reset canvas view.\nTouch:\n- Two-finger drag → pan + pinch-zoom.\n- Two/Three-finger tap -> Undo/Redo.,鼠标：\n- 滚动鼠标滚轮 -> 缩放。\n- 按住鼠标中键拖动 -> 平移。\n- 双击鼠标中键 -> 重置画布视图。\n触控：\n- 双指拖动 -> 平移 + 捏合缩放。\n- 双指/三指点击 -> 撤销/重做。,滑鼠：\n- 滾動滑鼠滾輪 -> 縮放。\n- 按住滑鼠中鍵拖曳 -> 平移。\n- 雙擊滑鼠中鍵 -> 重設畫布視圖。\n觸控：\n- 雙指拖曳 -> 平移 + 捏合縮放。\n- 雙指/三指點擊 -> 復原/重做。,マウス：\n- マウスホイールをスクロール -> ズーム。\n- マウス中ボタンをドラッグ -> パン。\n- マウス中ボタンをダブルクリック -> キャンバスビューをリセット。\nタッチ：\n- 2本指でドラッグ -> パン + ピンチズーム。\n- 2本指/3本指でタップ -> 元に戻す/やり直し。,마우스:\n- 마우스 휠 스크롤 -> 확대/축소.\n- 마우스 가운데 버튼 드래그 -> 이동.\n- 마우스 가운데 버튼 더블 클릭 -> 캔버스 보기 재설정.\n터치:\n- 두 손가락 드래그 -> 이동 + 핀치 줌.\n- 두/세 손가락 탭 -> 실행 취소/다시 실행.,Maus:\n- Mausrad scrollen -> zoomen.\n- Mittlere Maustaste ziehen -> verschieben.\n- Mittlere Maustaste doppelklicken -> Canvas-Ansicht zurücksetzen.\nTouch:\n- Mit zwei Fingern ziehen -> verschieben + Pinch-Zoom.\n- Mit zwei/drei Fingern tippen -> Rückgängig/Wiederholen.,Souris :\n- Faire défiler la molette -> zoomer.\n- Faire glisser le bouton central -> déplacer.\n- Double-cliquer sur le bouton central -> réinitialiser la vue du canevas.\nTactile :\n- Faire glisser avec deux doigts -> déplacer + zoom par pincement.\n- Toucher avec deux/trois doigts -> Annuler/Rétablir.
[Document Brush List Tooltip],Right click to delete a brush,右键点击以删除笔刷,右鍵點擊以刪除筆刷,右クリックでブラシを削除,브러시를 삭제하려면 오른쪽 클릭,Rechtsklick zum Löschen eines Pinsels,Clic droit pour supprimer un pinceau
[Delete Brush Hint],Deleting this brush will also delete all strokes using this brush. Are you sure you want to proceed?,删除此笔刷将同时删除所有使用该笔刷的线条。确定要继续吗？,刪除此筆刷也會刪除所有使用該筆刷的綫條。確定要繼續嗎？,このブラシを削除すると、このブラシを使用しているすべてのストロークも削除されます。続行しますか？,이 브러시를 삭제하면 이 브러시를 사용하는 모든 스트로크도 삭제됩니다. 계속하시겠습니까?,Beim Löschen dieses Pinsels werden auch alle Striche gelöscht die diesen Pinsel verwenden. Möchten Sie fortfahren?,La suppression de ce pinceau supprimera également tous les tracés utilisant ce pinceau. Voulez-vous continuer ?
[Mapping Curve Tooltip],"- Hold alt and drag to disconnect handles\n- Right click to delete points or reset handles\n- Left click on curve to add points","- 按住 Alt 并拖动以断开控制柄\n- 右键点击以删除点或重置控制柄\n- 左键点击曲线以添加点","- 按住 Alt 並拖動以斷開控制柄\n- 右鍵點擊以刪除點或重置控制柄\n- 左鍵點擊曲線以新增點","- Altキーを押しながらドラッグしてハンドルを切断\n- 右クリックでポイントを削除またはハンドルをリセット\n- 曲線上で左クリックしてポイントを追加","- Alt 키를 누른 상태에서 드래그하여 핸들 분리\n- 오른쪽 클릭으로 점 삭제 또는 핸들 재설정\n- 곡선에서 왼쪽 클릭으로 점 추가","- Alt halten und ziehen, um Griffe zu trennen\n- Rechtsklick zum Löschen von Punkten oder Zurücksetzen von Griffen\n- Linksklick auf Kurve, um Punkte hinzuzufügen","- Maintenez Alt et faites glisser pour déconnecter les poignées\n- Clic droit pour supprimer des points ou réinitialiser les poignées\n- Clic gauche sur la courbe pour ajouter des points"
[Bezier Deform Tooltip],Deforming polylines as if they were a bezier curve,把折线当作贝塞尔曲线变形,把折線當作貝塞爾曲線變形,ベジェ曲線のように折れ線を変形,폴리선을 베지어 곡선처럼 변형,Polylinien verformen, als ob sie
